Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
GWALIOR,3,VIVEK NARAYAN SHEJWALKAR,Bharatiya Janata Party,ASHOK SINGH,Indian National Congress,29699,Result Declared,NARENDRA SINGH TOMAR,Bharatiya Janata Party
Ahmadnagar ,37,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress Party,209122,Result Declared,GANDHI DILIPKUMAR MANSUKHLAL,Bharatiya Janata Party
Akola,6,Dhotre Sanjay Shamrao,Bharatiya Janata Party,Ambedkar (Adv) Prakash Yashwant,Vanchit Bahujan Aaghadi,203116,Result Declared,DHOTRE SANJAY SHAMRAO,Bharatiya Janata Party
Amravati ,7,Navnit Ravi Rana,Independent,Adsul Anandrao Vithoba,Shivsena,137932,Result Declared,ADSUL ANANDRAO VITHOBA,Shivsena
Aurangabad,19,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,Chandrakant Khaire,Shivsena,162000,Result Declared,CHANDRAKANT BHAURAO KHAIRE,Shivsena
Baramati,35,Supriya Sule,Nationalist Congress Party,Kanchan Rahul Kool,Bharatiya Janata Party,69719,Result Declared,SUPRIYA SULE,Nationalist Congress Party
Beed,39,Pritam Gopinathrao Munde,Bharatiya Janata Party,Bajrang Manohar Sonwane,Nationalist Congress Party,136454,Result Declared,MUNDE GOPINATHRAO PANDURANG,Bharatiya Janata Party
Bhandara - gondiya,11,Sunil Baburao Mendhe,Bharatiya Janata Party,Panchabudhe Nana Jairam,Nationalist Congress Party,149254,Result Declared,NANABHAU FALGUNRAO PATOLE,Bharatiya Janata Party
Bhiwandi,23,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,TAWARE SURESH KASHINATH,Indian National Congress,109450,Result Declared,KAPIL MORESHWAR PATIL,Bharatiya Janata Party
Buldhana,5,Jadhav Prataprao Ganpatrao,Shivsena,Dr. Rajendra Bhaskarrav Shingne,Nationalist Congress Party,159579,Result Declared,JADHAV PRATAPRAO GANPATRAO,Shivsena
Chandrapur,13,Balubhau alias Suresh Narayan Dhanorkar,Indian National Congress,Ahir Hansraj Gangaram,Bharatiya Janata Party,236269,Result Declared,AHIR HANSRAJ GANGARAM,Bharatiya Janata Party
Inner manipur,1,DR RAJKUMAR RANJAN SINGH,Bharatiya Janata Party,OINAM NABAKISHORE SINGH,Indian National Congress,94674,Result Declared,DR. THOKCHOM MEINYA,Indian National Congress
Outer manipur,2,Lorho S. Pfoze,Naga Peoples Front,Houlim Shokhopao Mate,Bharatiya Janata Party,15637,Result Declared,THANGSO BAITE,Indian National Congress
Shillong,1,VINCENT H. PALA,Indian National Congress,JEMINO MAWTHOH,United Democratic Party,40379,Result Declared,VINCENT H. PALA,Indian National Congress
Tura ,2,AGATHA K. SANGMA,National People's Party,DR. MUKUL SANGMA,Indian National Congress,39716,Result Declared,PURNO AGITOK SANGMA,National Peoples Party
MIZORAM,1,C LALROSANGA,Mizo National Front,LALNGHINGLOVA HMAR,Independent,6154,Result Declared,C. L. RUALA,Indian National Congress
Nagaland,1,Tokheho Yepthomi,Nationalist Democratic Progressive Party,K L Chishi,Indian National Congress,400225,Result Declared,NEIPHIU RIO,Naga Peoples Front
CHANDNI CHOWK                 ,1,HARSH VARDHAN,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,136320,Result Declared,DR. HARSH VARDHAN,Bharatiya Janata Party
EAST DELHI                    ,3,GAUTAM GAMBHIR,Bharatiya Janata Party,ARVINDER SINGH LOVELY,Indian National Congress,190463,Result Declared,MAHEISH GIRRI,Bharatiya Janata Party
NEW DELHI                     ,4,MEENAKASHI LEKHI,Bharatiya Janata Party,AJAY MAKAN,Indian National Congress,162708,Result Declared,MEENAKASHI LEKHI,Bharatiya Janata Party
NORTH EAST DELHI              ,2,MANOJ TIWARI,Bharatiya Janata Party,SHEILA DIKSHIT,Indian National Congress,144084,Result Declared,MANOJ TIWARI,Bharatiya Janata Party
