STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Andhra Pradesh,16,Mahabubabad  ,Mahabubabad  ,7,1670,1387288,831,22,17,14,1126618,81.21,
Bihar,19,Maharajganj,Maharajganj,6,1546,1642068,1062,11,10,7,846833,74.60,
Uttar Pradesh,63,Maharajganj,Maharajganj,5,1677,1743131,1039,23,23,20,1060241,57.18,
Chhattisgarh,9,MAHASAMUND,Mahasamund,8,1937,1516177,783,38,27,25,1131254,53.30,
Andhra Pradesh,11,Mahbubnagar,Mahbubnagar,7,1592,1418668,891,17,9,6,1015520,71.58,
Gujarat,4,Mahesana,Mahesana,7,1621,1498219,924,28,14,12,1004295,69.11,
Uttar Pradesh,21,Mainpuri,Mainpuri,5,1929,1653058,857,14,13,11,999427,67.53,
Kerala,6,Malappuram,Malappuram,7,1006,1197664,1191,18,10,8,853468,77.70,
West Bengal,8,Maldaha Dakshin,Maldaha Dakshin,7,1510,1347143,892,17,17,13,1092465,53.06,
West Bengal,7,Maldaha Uttar,Maldaha Uttar,7,1573,1425428,906,15,14,11,1163156,51.05,
Andhra Pradesh,7,Malkajgiri,Malkajgiri,7,2882,3183083,1104,32,30,28,1624859,51.05,
Himachal Pradesh,2,Mandi,Mandi,17,1985,1150408,580,13,9,7,726482,71.93,
Madhya Pradesh,14,MANDLA,Mandla,8,2334,1824702,782,11,10,8,1218661,81.27,
Madhya Pradesh,23,MANDSOUR,Mandsour,8,1898,1626556,857,14,14,12,1161599,77.68,
Karnataka,20,Mandya,Mandya,8,2019,1669262,827,22,16,14,1193041,80.19,
Assam,8,Mangaldoi,Mangaldoi,10,1852,1515676,818,13,12,10,1233474,53.06,
Uttar Pradesh,17,Mathura,Mathura,5,1734,1682260,970,25,20,18,1078331,82.55,
West Bengal,20,Mathurapur,Mathurapur,7,1825,1488785,816,10,10,8,1271208,80.19,
Maharashtra,33,Maval,Maval,6,2185,1953741,894,26,19,17,1174380,82.23,
Kerala,16,Mavelikkara ,Mavelikkara ,7,1147,1252369,1092,15,9,7,889269,81.21,
Tamil Nadu,28,Mayiladuthurai,Mayiladuthurai,6,1582,1350316,854,28,19,17,1026581,83.48,
Odisha,5,Mayurbhanj ,Mayurbhanj ,7,1771,1327555,750,11,9,6,1054555,76.09,
Andhra Pradesh,6,Medak,Medak,7,1817,1536166,845,15,13,11,1193548,77.70,
West Bengal,34,Medinipur,Medinipur,7,1914,1499673,784,12,10,8,1263095,76.71,
Uttar Pradesh,10,Meerut,Meerut,5,1676,1764387,1053,22,13,10,1113671,60.51,
Uttar Pradesh,79,Mirzapur,Mirzapur,5,1716,1720661,1003,25,23,21,1007646,54.91,
Uttar Pradesh,32,Misrikh,Misrikh,5,1878,1725589,919,16,14,11,998314,85.16,
Mizoram,1,MIZORAM,Mizoram,40,1126,702170,624,4,3,1,434962,76.15,
Uttar Pradesh,34,Mohanlalganj,Mohanlalganj,5,1912,1838194,961,22,18,15,1116658,76.71,
Uttar Pradesh,6,Moradabad,Moradabad,5,1709,1771985,1037,21,18,16,1128076,77.70,
Madhya Pradesh,1,MORENA,Morena,8,1882,1702457,905,20,17,14,854281,76.15,
Maharashtra,31,Mumbai   South,Mumbai   South,6,1549,1485844,959,23,20,18,779859,84.68,
